Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
VGG16,73.57142857142858,0.4266060925573921,81.66666666666667,0.3850062273090472,624.4956030845642,11.466212272644045,0.6333333333333333,0.6333474078765605,0.8166666666666667
VGG16+Dense,77.85714285714286,0.4408907027425218,80.0,0.3849411095083243,488.5256798267365,11.47175908088684,0.6,0.6002134471785769,0.8
VGG16+Dense+Dropout,78.57142857142857,0.4286721375706908,81.33333333333333,0.3541322902545918,1307.2145965099337,11.516053915023804,0.6266666666666667,0.627168602403258,0.8133333333333334
VGG16+GlobalAveragePooling+Dense,80.0,0.4177042321162351,80.0,0.4226669123223968,424.21469473838806,11.623352766036987,0.6,0.6004805767690767,0.8
VGG16+Conv2D+GlobalAveragePooling+Dropout+Dense,81.42857142857143,0.4040357173504053,83.33333333333334,0.3553224901791654,505.2017505168915,11.484922885894775,0.6666666666666667,0.6669038301984188,0.8333333333333333
VGG16+LSTM+Dense,80.71428571428572,0.4101047802838916,80.0,0.3684266357937136,569.825291633606,11.593092918395996,0.6,0.601929265428846,0.8
VGG16+GRU+Dense,80.71428571428572,0.3891335070486691,81.33333333333333,0.3693453095402236,918.7726094722748,11.570770740509031,0.6266666666666667,0.6268896003865136,0.8133333333333334
VGG16+Attention Mechanism+Dense,78.57142857142857,0.4142217893366585,84.0,0.3490205250447484,544.2220826148987,11.560550928115845,0.6799999999999999,0.6805446536716203,0.84
VGG16+Capsule Network+Dense,79.28571428571428,0.4299621684819848,82.66666666666667,0.3489768509271089,-4460.435465335846,8.739898204803467,0.6533333333333333,0.6538566280374392,0.8266666666666667
VGG16+Capsule Network+Dense,79.28571428571428,0.42995856878964395,80.0,0.41064814027524543,259.83679270744324,8.578414916992188,0.6,0.6013377943029549,0.8
