Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Resnet+Dense,86.42857074737549,0.3639390170574188,87.00000047683716,0.3828717172145843,203.08593559265137,12.60250687599182,0.739872826715283,0.7415241090646016,0.8697719898662162
Resnet+Dense+Dropout,85.71428656578064,0.3611454665660858,85.83333492279053,0.3508765697479248,348.78086590766907,12.584058046340942,0.7166351816868541,0.7166710240986797,0.8582937019423085
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,84.64285731315613,0.3487434983253479,87.33333349227905,0.3134828507900238,205.0605835914612,12.586691856384276,0.746407438715131,0.7545843341866538,0.872838792835237
ResNet+LSTM+Dense,82.85714387893677,0.4242802560329437,79.50000166893005,0.4579048156738281,306.34100246429443,12.75755763053894,0.5903004463393512,0.5943532420100114,0.7953797946575403
ResNet+GRU+Dense,84.28571224212646,0.4242777228355407,80.33333420753479,0.471434473991394,538.5260810852051,12.773560762405396,0.6063342378008096,0.6107551107607868,0.80292457442553
ResNet+Conv2D+GlobalAveragePooling+Dropout+Dense,84.28571224212646,0.3735082149505615,84.83333587646484,0.3679920434951782,176.5203938484192,12.606621503829956,0.6965385384940308,0.6976605198951592,0.8481376950086671
ResNet+LSTM+Dense,80.71428537368774,0.4368247091770172,79.83333468437195,0.4616321921348572,383.0266470909119,12.775641202926636,0.5969264251926536,0.6001349300459125,0.7986688297257656
ResNet+GRU+Dense,83.21428298950195,0.3983185887336731,82.33333230018616,0.386543720960617,251.34409379959104,12.697407722473145,0.6464466779329361,0.6488912653915474,0.823036579403529
ResNet+Attention Mechanism+Dense,87.14285492897034,0.3751201033592224,85.00000238418579,0.4315245151519775,294.3956980705261,12.688477993011476,0.700026664296507,0.7001666867435149,0.8500600026667852
Resnet+Dense+Dropout,86.78571581840515,0.3683435022830963,84.16666388511658,0.4153349697589874,175.56577348709106,11.925382852554321,0.6834107218235542,0.6840529591615975,0.8418040801813413
