Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Densenet,89.76190686225891,0.2627433240413666,89.8888885974884,0.2685669660568237,1581.297205209732,14.689714908599854,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(2),88.09523582458496,0.2687022984027862,87.99999952316284,0.2963950932025909,817.9063172340393,14.484074354171751,0.0,0.0,0.5
Densenet+Dropout(1)+Dense(1),89.28571343421936,0.2589320242404938,89.8888885974884,0.2951055467128753,1529.22163105011,14.443269968032835,0.0,0.0,0.5
Densenet+GlobalAveragePooling+Dense,88.80952596664429,0.2700490355491638,89.33333158493042,0.2770310044288635,1151.0247423648834,14.521186351776125,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,87.38095164299011,0.3104890286922455,88.66666555404663,0.2705278694629669,1038.3902764320374,42.3636519908905,0.0,0.0,0.5
Densenet+Conv2D+GlobalAveragePooling+Dropout+Dense,86.42857074737549,0.2988353371620178,88.77778053283691,0.278859406709671,1047.0494239330292,14.490012168884276,0.0,0.0,0.5
Densenet+LSTM+Dense,87.14285492897034,0.276215136051178,86.88889145851135,0.3098328411579132,1258.1822543144226,14.750520944595335,0.0,0.0,0.5
Densenet+GRU+Dense,86.42857074737549,0.2891215682029724,87.33333349227905,0.2852246463298797,1046.1007180213928,15.674925565719604,0.0,0.0,0.5
Densenet+Attention Mechanism+Dense,51.90476179122925,0.7397719621658325,52.11111307144165,0.7740300297737122,610.089396238327,15.611770629882812,0.0,0.0,0.5
Densenet+Capsule Network+Dense,89.28571343421936,0.35056114196777344,87.88889050483704,0.3360580503940582,1276.0063290596008,17.906654834747314,0.0,0.0,0.5
