Combination,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training time,Inference time,Cohens Kappa,MCC,Balanced Accuracy
Mobilenet+Dense,89.04761672019958,0.2734380960464477,89.55555558204651,0.2475628107786178,143.3541808128357,6.539716005325317,0.7909634952089624,0.7909713183550843,0.8954387559974109
MobileNet+Dense+Dropout,48.571428656578064,0.6925352811813354,48.77777695655823,0.6926349997520447,113.60351419448853,6.6128318309783936,0.0,0.0,0.5
MobileNet+Conv2D+GlobalAveragePooling+Dropout+Dense,48.571428656578064,0.6932799816131592,48.77777695655823,0.6932621002197266,94.74405074119568,6.6744654178619385,0.0,0.0,0.5
MobileNet+LSTM+Dense,51.428574323654175,0.6930346488952637,51.22222304344177,0.6930522322654724,225.1426038742065,6.762957572937012,0.0,0.0,0.5
MobileNet+LSTM+Dense,51.428574323654175,0.6930346488952637,51.22222304344177,0.6930522322654724,225.1426038742065,6.748039722442627,0.0,0.0,0.5
MobileNet+GRU+Dense,48.571428656578064,0.6933833360671997,48.77777695655823,0.6933531165122986,169.0248372554779,6.594198942184448,0.0,0.0,0.5
MobileNet+Attention Mechanism +Dense,48.571428656578064,0.6939504742622375,48.77777695655823,0.6938653588294983,80.8904550075531,6.564697265625,0.0,0.0,0.5
MobileNet+Capsule Network+Dense,85.00000238418579,0.3045726120471954,87.55555748939514,0.2789886593818664,133.3864152431488,6.591951608657837,0.7505283947195177,0.7524422186290862,0.8746114962520815
MobileNet+Capsule Network+Dense,85.71428656578064,0.2977705299854278,87.66666650772095,0.2813120484352112,133.73402214050293,6.604524612426758,0.7535742829233638,0.7551409288237424,0.8773810523819171
MobileNet+Capsule Network+Dense,83.80952477455139,0.3361881375312805,86.55555844306946,0.2994363009929657,102.01784348487854,6.6098878383636475,0.7302906619642964,0.7339923884850585,0.8642522198449444
